interest_rate,late_fee,annual_fee,billing_cycle,min_payment,disclosure,label
57,1254,4602,44,14,1,0
29,439,357,35,13,1,1
18,405,4603,31,19,1,1
55,766,7363,28,13,1,0
24,1031,2393,37,3,1,0
42,480,6971,27,3,1,0
27,579,3494,37,6,1,1
48,261,6086,25,20,0,0
15,332,706,43,12,1,1
17,385,2843,32,11,1,1
28,515,6545,42,14,0,0
47,910,718,17,19,0,0
35,141,436,27,7,1,1
18,983,2040,34,7,1,1
16,631,2386,33,7,1,1
30,272,290,29,10,1,1
16,1997,8804,42,19,1,0
15,926,3483,36,11,1,1
11,469,8,29,6,1,1
13,332,1543,43,15,1,1
41,172,6175,41,5,1,0
12,328,1440,29,6,1,1
24,312,4124,43,6,1,1
29,439,3110,39,11,1,1
19,1119,7091,24,4,1,0
58,1186,2937,30,6,1,0
55,1116,4032,22,8,0,0
23,220,6780,39,3,1,0
24,705,196,43,9,1,1
36,363,4594,38,6,1,1
47,1537,2520,35,17,1,0
19,687,3587,39,12,1,1
36,654,2081,29,10,1,1
15,740,8992,16,3,1,0
35,1046,1243,23,6,0,0
15,1573,6462,29,3,0,0
48,1501,2706,25,8,1,0
52,171,1911,34,1,1,0
30,577,4705,34,19,1,1
39,580,4301,37,12,1,1
16,417,2795,32,14,1,1
30,1739,5531,24,20,1,0
21,619,4985,45,8,1,1
30,714,1211,27,15,1,1
15,121,3072,32,20,1,1
46,1648,3837,27,20,1,0
11,718,8065,37,15,0,0
14,769,4624,41,8,1,1
17,639,101,27,15,1,1
59,955,703,34,6,0,0
42,1903,9920,26,16,1,0
56,1934,8488,25,3,0,0
27,1339,8546,45,17,1,0
45,839,4069,30,18,1,0
20,673,1151,38,3,0,0
10,298,4084,45,6,1,1
43,1561,2676,40,18,1,0
38,1777,8882,31,12,0,0
18,388,994,30,12,1,1
16,105,3973,35,20,1,1
45,908,1402,27,8,1,0
47,683,851,19,12,1,0
14,675,3634,37,16,1,1
23,840,3887,45,12,1,1
38,656,1121,45,18,1,1
49,1292,5221,39,14,1,0
21,146,4355,26,19,1,1
12,1432,5021,28,20,0,0
12,973,942,31,18,1,1
33,838,3939,35,11,1,1
47,529,1055,26,13,1,0
20,409,1064,45,13,1,1
17,322,1102,26,8,1,1
18,882,4126,30,17,1,1
40,1559,6076,37,7,1,0
48,1123,6719,27,13,0,0
48,1444,7619,33,6,0,0
60,319,8194,27,19,1,0
58,1626,6720,36,18,1,0
31,939,4752,42,19,1,1
37,365,513,34,16,1,1
18,160,1184,38,18,1,1
55,347,531,30,3,0,0
22,223,5552,45,6,0,0
21,867,2927,28,12,1,1
33,665,4917,38,7,1,1
43,1529,5013,39,8,1,0
15,509,624,36,16,1,1
14,675,2062,40,13,1,1
26,235,445,34,15,1,1
32,717,67,31,16,1,1
29,248,1729,25,9,1,1
57,716,5819,23,16,0,0
55,1839,8638,15,5,0,0
48,285,8974,35,13,1,0
58,934,3495,29,1,0,0
35,621,1010,31,18,1,1
31,568,1981,34,11,1,1
33,361,1112,25,12,1,1
35,666,2742,39,8,1,1
15,1037,3238,27,2,1,0
33,1685,2817,24,5,1,0
32,901,4801,37,14,1,1
12,1483,4272,17,14,0,0
37,1766,1590,26,11,0,0
47,708,4249,44,18,0,0
56,679,597,34,5,1,0
49,256,2475,23,8,1,0
18,515,7636,22,13,1,0
